,Bacteroidetes,Firmicutes,Actinobacteria,Tenericutes,Proteobacteria,Verrucomicrobia,Cyanobacteria,,,,,,,,,,,,,,,,,,,
,Violin,Bassoon,Oboe,Viola,Clarinet,Flute,Horn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
55,30.63%,58.21%,8.56%,1.70%,0.89%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
56,21.15%,67.09%,8.04%,3.06%,0.67%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
57,12.57%,71.09%,10.51%,5.41%,0.42%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
58,11.55%,73.42%,7.17%,7.47%,0.38%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
59,27.32%,56.48%,11.00%,4.79%,0.41%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
60,10.82%,62.38%,16.22%,5.14%,5.42%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
61,23.18%,61.91%,9.73%,3.01%,2.16%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
62,31.91%,59.05%,6.84%,1.56%,0.63%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
63,38.46%,61.54%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
64,23.84%,63.50%,3.01%,7.80%,1.84%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
65,22.61%,62.18%,6.85%,7.33%,1.02%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
66,11.60%,72.21%,8.06%,7.82%,0.30%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
67,28.00%,58.29%,6.41%,6.80%,0.50%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
68,35.45%,58.12%,2.02%,3.16%,1.25%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
69,53.67%,41.75%,0.79%,2.64%,1.15%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
70,20.50%,71.40%,1.12%,2.68%,4.28%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
71,38.84%,48.33%,5.89%,5.35%,1.59%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
72,13.37%,73.57%,4.64%,5.73%,2.68%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
73,45.21%,44.24%,1.02%,2.36%,7.14%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
74,35.66%,46.45%,0.65%,4.95%,12.29%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
75,60.91%,37.45%,0.36%,0.75%,0.01%,0.52%,0.00%,,,,,,,,,,,,,,,,,,,
76,21.13%,63.50%,1.88%,2.95%,9.88%,0.31%,0.32%,,,,,,,,,,,,,,,,,,,
77,27.69%,60.49%,2.30%,3.51%,5.17%,0.64%,0.00%,,,,,,,,,,,,,,,,,,,
78,12.65%,70.49%,0.74%,6.38%,9.72%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
79,39.72%,49.87%,0.17%,1.33%,8.90%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
80,9.85%,67.16%,0.45%,4.89%,17.65%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
81,36.20%,47.07%,0.27%,0.57%,11.18%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
82,21.79%,37.74%,0.24%,2.73%,37.40%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
83,2.85%,55.77%,0.66%,11.61%,28.99%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
84,26.26%,36.71%,0.10%,6.50%,30.14%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
85,6.95%,60.17%,2.68%,18.11%,12.06%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
86,25.60%,68.49%,3.83%,1.73%,0.34%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
87,29.40%,26.00%,0.07%,4.73%,38.50%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
88,37.14%,35.80%,0.02%,2.11%,22.59%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
89,38.82%,32.04%,0.08%,1.02%,24.51%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
90,42.62%,34.04%,0.14%,1.17%,20.15%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
91,0.89%,1.59%,0.00%,0.18%,97.25%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
92,13.65%,59.34%,2.16%,10.10%,14.63%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
93,29.75%,48.92%,1.11%,4.40%,15.69%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
94,30.87%,48.64%,0.21%,2.90%,17.19%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
95,49.26%,40.63%,0.33%,3.71%,6.07%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
96,40.55%,48.07%,0.48%,2.58%,8.28%,0.00%,0.04%,,,,,,,,,,,,,,,,,,,
97,34.11%,54.09%,0.90%,4.27%,6.59%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
98,47.24%,43.17%,0.86%,2.41%,6.22%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
99,36.92%,46.58%,2.12%,2.38%,11.96%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
100,19.81%,53.78%,4.85%,7.94%,13.61%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
101,44.63%,39.40%,1.66%,2.63%,11.66%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
102,13.03%,41.60%,0.14%,0.29%,44.75%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
103,25.11%,65.31%,6.16%,2.57%,0.85%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
104,33.40%,32.74%,0.13%,2.89%,30.76%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
105,11.01%,25.26%,0.15%,0.07%,63.44%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
106,42.87%,30.23%,0.38%,1.24%,19.98%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
107,26.32%,60.56%,0.33%,1.70%,9.92%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
108,29.98%,27.65%,0.21%,0.90%,36.75%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
109,54.73%,30.44%,0.43%,0.84%,10.68%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
110,27.29%,48.95%,3.64%,1.10%,18.68%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
111,26.15%,59.38%,3.24%,2.32%,8.65%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
112,44.30%,46.45%,0.62%,2.31%,5.96%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
