,Bacteroidetes,Firmicutes,Actinobacteria,Tenericutes,Proteobacteria,Verrucomicrobia,Cyanobacteria,,,,,,,,,,,,,,,,,,,
,Violin,Bassoon,Oboe,Viola,Clarinet,Flute,Horn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
238,22.59%,66.72%,2.00%,7.74%,0.93%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
239,39.89%,55.96%,0.60%,2.23%,1.32%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
240,9.50%,80.88%,2.73%,6.75%,0.15%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
241,11.42%,74.38%,3.53%,9.63%,1.03%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
242,17.81%,67.14%,8.56%,6.22%,0.26%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
243,28.27%,56.44%,9.20%,5.42%,0.67%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
244,2.15%,73.26%,12.64%,11.24%,0.70%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
245,2.13%,60.91%,16.45%,17.54%,2.94%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
246,5.14%,68.85%,17.39%,8.08%,0.53%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
247,4.19%,76.87%,8.46%,9.74%,0.72%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
248,2.01%,75.66%,13.15%,9.02%,0.16%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
249,0.32%,66.42%,4.84%,26.79%,1.62%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
250,0.86%,67.69%,9.28%,21.44%,0.73%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
251,0.54%,68.98%,15.65%,14.56%,0.27%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
252,3.87%,72.18%,14.03%,9.51%,0.40%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
253,20.45%,67.05%,2.82%,8.81%,0.87%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
254,21.92%,66.69%,4.49%,5.93%,0.98%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
255,22.53%,64.32%,2.79%,9.50%,0.86%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
256,15.91%,67.16%,6.31%,10.26%,0.35%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
257,17.16%,67.08%,5.20%,10.02%,0.54%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
258,19.95%,70.94%,1.86%,6.26%,0.99%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
259,15.39%,72.21%,1.90%,7.90%,2.60%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
260,4.33%,79.16%,4.93%,11.37%,0.20%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
261,46.64%,48.72%,0.25%,4.04%,0.02%,0.33%,0.00%,,,,,,,,,,,,,,,,,,,
262,52.09%,46.29%,0.20%,1.35%,0.01%,0.05%,0.00%,,,,,,,,,,,,,,,,,,,
263,64.28%,34.48%,0.12%,1.06%,0.03%,0.02%,0.00%,,,,,,,,,,,,,,,,,,,
264,54.49%,43.52%,0.12%,1.76%,0.01%,0.10%,0.00%,,,,,,,,,,,,,,,,,,,
265,62.70%,36.04%,0.04%,1.15%,0.04%,0.03%,0.00%,,,,,,,,,,,,,,,,,,,
266,50.78%,45.15%,0.15%,3.70%,0.09%,0.13%,0.00%,,,,,,,,,,,,,,,,,,,
267,69.20%,29.00%,0.14%,1.41%,0.19%,0.07%,0.00%,,,,,,,,,,,,,,,,,,,
268,61.35%,37.14%,0.11%,1.34%,0.02%,0.04%,0.00%,,,,,,,,,,,,,,,,,,,
269,51.01%,47.49%,0.08%,1.25%,0.02%,0.14%,0.00%,,,,,,,,,,,,,,,,,,,
270,63.28%,34.54%,0.10%,2.02%,0.01%,0.05%,0.00%,,,,,,,,,,,,,,,,,,,
271,42.12%,54.81%,0.39%,2.06%,0.40%,0.23%,0.00%,,,,,,,,,,,,,,,,,,,
272,45.67%,51.88%,0.54%,1.89%,0.00%,0.03%,0.00%,,,,,,,,,,,,,,,,,,,
273,49.82%,47.23%,0.45%,2.30%,0.00%,0.19%,0.00%,,,,,,,,,,,,,,,,,,,
274,44.80%,52.62%,0.38%,2.02%,0.03%,0.15%,0.00%,,,,,,,,,,,,,,,,,,,
275,68.29%,29.59%,0.18%,1.89%,0.00%,0.05%,0.00%,,,,,,,,,,,,,,,,,,,
276,48.90%,47.75%,0.72%,1.69%,0.04%,0.91%,0.00%,,,,,,,,,,,,,,,,,,,
277,53.65%,45.41%,0.41%,0.51%,0.00%,0.03%,0.00%,,,,,,,,,,,,,,,,,,,
278,34.08%,62.48%,0.92%,2.25%,0.00%,0.27%,0.00%,,,,,,,,,,,,,,,,,,,
279,40.78%,57.65%,0.48%,0.96%,0.03%,0.09%,0.00%,,,,,,,,,,,,,,,,,,,
280,36.25%,59.79%,1.24%,2.52%,0.00%,0.20%,0.00%,,,,,,,,,,,,,,,,,,,
281,60.21%,38.45%,0.30%,0.91%,0.06%,0.07%,0.00%,,,,,,,,,,,,,,,,,,,
282,55.45%,41.82%,0.51%,1.93%,0.14%,0.16%,0.00%,,,,,,,,,,,,,,,,,,,
283,9.07%,63.19%,23.88%,3.31%,0.56%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
284,19.25%,57.03%,20.06%,2.11%,1.55%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
285,16.37%,62.29%,15.44%,5.44%,0.46%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
286,3.99%,86.74%,4.74%,4.28%,0.25%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
287,24.73%,64.80%,6.72%,3.41%,0.34%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
288,67.47%,27.74%,2.66%,0.47%,1.55%,0.00%,0.12%,,,,,,,,,,,,,,,,,,,
289,62.20%,29.67%,5.88%,0.92%,1.32%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
290,73.84%,22.31%,1.91%,0.44%,1.37%,0.00%,0.13%,,,,,,,,,,,,,,,,,,,
291,25.87%,63.09%,8.51%,2.37%,0.16%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
292,26.47%,63.00%,5.42%,4.57%,0.53%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
293,38.82%,51.84%,5.26%,3.66%,0.41%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
294,19.53%,66.82%,9.37%,3.87%,0.41%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
295,31.81%,60.65%,5.06%,2.04%,0.41%,0.00%,0.04%,,,,,,,,,,,,,,,,,,,
296,26.62%,64.59%,5.89%,1.90%,1.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
297,30.68%,58.39%,9.32%,1.50%,0.11%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
298,35.32%,55.74%,6.76%,1.51%,0.64%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
299,2.70%,43.24%,0.00%,2.70%,48.65%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
300,8.99%,73.77%,12.67%,2.32%,2.25%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
301,12.79%,64.11%,18.04%,4.98%,0.09%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
302,14.64%,68.86%,14.04%,2.08%,0.38%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
303,14.40%,72.40%,8.58%,3.98%,0.64%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
304,14.01%,71.75%,11.32%,2.49%,0.42%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
305,9.03%,67.97%,17.19%,5.71%,0.10%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
306,28.68%,59.74%,6.47%,4.25%,0.84%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
307,5.60%,74.01%,14.45%,5.74%,0.20%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
308,10.86%,73.18%,11.17%,3.80%,0.98%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
309,19.34%,63.91%,14.04%,1.52%,1.20%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
310,27.30%,51.86%,17.45%,1.25%,2.15%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
311,40.75%,43.20%,13.48%,0.86%,1.71%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
312,13.14%,71.46%,9.71%,3.27%,2.42%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
313,19.88%,63.47%,5.58%,5.04%,6.02%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
314,18.58%,55.25%,5.77%,3.46%,16.94%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
315,0.81%,86.94%,2.85%,8.76%,0.65%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
316,1.20%,83.71%,3.56%,9.48%,2.05%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
317,22.59%,68.82%,2.08%,5.98%,0.53%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
318,27.36%,62.58%,5.79%,3.80%,0.47%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
319,27.44%,57.04%,4.95%,9.45%,1.11%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
320,26.94%,58.26%,7.09%,7.23%,0.49%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
321,48.30%,46.51%,1.63%,2.29%,1.27%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
322,25.33%,56.74%,5.67%,7.24%,5.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
323,36.96%,49.56%,8.10%,4.63%,0.75%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
324,28.88%,55.01%,13.87%,1.90%,0.34%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
325,39.46%,49.82%,7.84%,2.14%,0.74%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
326,50.27%,41.30%,2.62%,3.80%,2.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
327,20.67%,65.33%,7.02%,6.53%,0.45%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
328,44.68%,49.57%,3.02%,2.09%,0.65%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
329,33.56%,52.73%,4.39%,3.44%,5.88%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
330,50.37%,43.04%,2.32%,3.64%,0.63%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
331,2.17%,71.43%,8.16%,17.27%,0.95%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
332,7.67%,73.01%,8.61%,9.73%,0.72%,0.00%,0.27%,,,,,,,,,,,,,,,,,,,
333,27.26%,65.02%,2.61%,4.53%,0.57%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
334,5.91%,77.23%,8.24%,7.95%,0.67%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
335,39.32%,48.23%,7.10%,3.88%,1.44%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
336,20.26%,67.18%,4.95%,6.74%,0.82%,0.00%,0.04%,,,,,,,,,,,,,,,,,,,
337,4.62%,75.37%,10.82%,8.67%,0.49%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
338,54.77%,35.80%,3.06%,3.88%,2.48%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
339,53.22%,34.92%,3.08%,6.10%,2.67%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
340,59.15%,32.25%,0.79%,3.89%,3.86%,0.06%,0.00%,,,,,,,,,,,,,,,,,,,
341,63.97%,29.86%,1.50%,2.83%,1.85%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
342,48.79%,40.55%,5.89%,3.63%,1.13%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
343,55.01%,39.93%,1.59%,2.13%,1.35%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
344,41.58%,45.35%,7.99%,2.84%,2.24%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
345,59.09%,28.08%,2.93%,5.67%,4.23%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
346,44.87%,44.40%,1.31%,4.66%,4.76%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
347,61.37%,31.92%,1.22%,0.82%,4.67%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
348,42.68%,48.18%,1.42%,5.15%,2.56%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
349,12.18%,69.63%,3.24%,9.42%,5.52%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
350,0.20%,75.37%,6.35%,17.73%,0.34%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
351,2.36%,78.77%,14.59%,2.60%,1.69%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
352,26.93%,59.00%,7.03%,5.55%,1.45%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
353,35.82%,53.55%,3.95%,2.30%,4.38%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
354,26.33%,63.24%,6.78%,2.23%,1.42%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
355,30.41%,58.54%,4.21%,4.34%,2.50%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
356,30.33%,57.30%,5.82%,2.79%,3.76%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
357,44.32%,47.24%,3.65%,1.11%,3.62%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
358,18.13%,58.30%,11.65%,8.12%,3.74%,0.00%,0.06%,,,,,,,,,,,,,,,,,,,
359,33.25%,50.60%,5.17%,2.46%,8.52%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
360,7.36%,71.48%,17.67%,2.20%,1.30%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
361,19.95%,58.01%,18.92%,0.48%,2.64%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
362,17.92%,58.48%,19.51%,3.37%,0.72%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
363,26.83%,52.70%,17.71%,1.76%,1.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
364,9.36%,71.16%,14.81%,3.07%,1.59%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
365,26.71%,58.72%,7.25%,6.31%,1.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
366,26.28%,57.14%,13.35%,2.41%,0.79%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
367,29.24%,63.13%,3.05%,3.38%,1.20%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
368,26.12%,57.71%,8.25%,6.37%,1.42%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
369,28.82%,59.72%,6.34%,3.95%,1.18%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
370,26.09%,57.16%,5.76%,9.77%,1.22%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
371,0.94%,67.31%,16.18%,14.89%,0.68%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
372,37.01%,49.68%,3.45%,8.46%,1.40%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
373,16.47%,64.74%,10.99%,7.34%,0.45%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
374,32.38%,57.35%,5.57%,3.02%,1.68%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
375,46.09%,45.09%,5.01%,2.32%,1.49%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
376,11.30%,71.52%,13.72%,2.47%,0.98%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
377,18.37%,68.89%,9.27%,2.26%,1.22%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
378,34.59%,61.81%,1.79%,1.58%,0.07%,0.15%,0.00%,,,,,,,,,,,,,,,,,,,
379,49.40%,48.60%,0.40%,1.15%,0.35%,0.09%,0.00%,,,,,,,,,,,,,,,,,,,
380,47.21%,48.84%,0.48%,0.60%,1.94%,0.36%,0.00%,,,,,,,,,,,,,,,,,,,
381,0.23%,7.53%,0.23%,0.00%,92.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
382,67.69%,31.04%,0.03%,0.65%,0.14%,0.45%,0.00%,,,,,,,,,,,,,,,,,,,
383,0.14%,0.09%,0.00%,0.00%,99.77%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
384,50.84%,46.49%,0.12%,0.55%,1.83%,0.17%,0.00%,,,,,,,,,,,,,,,,,,,
385,64.90%,31.99%,0.14%,2.41%,0.31%,0.25%,0.00%,,,,,,,,,,,,,,,,,,,
386,33.10%,61.48%,0.72%,3.76%,0.03%,0.90%,0.00%,,,,,,,,,,,,,,,,,,,
387,38.59%,57.37%,0.62%,2.78%,0.14%,0.50%,0.00%,,,,,,,,,,,,,,,,,,,
388,57.09%,40.97%,0.33%,1.22%,0.08%,0.31%,0.00%,,,,,,,,,,,,,,,,,,,
389,63.75%,34.93%,0.25%,0.92%,0.04%,0.11%,0.00%,,,,,,,,,,,,,,,,,,,
390,49.04%,48.88%,0.28%,1.36%,0.08%,0.36%,0.00%,,,,,,,,,,,,,,,,,,,
391,71.61%,26.19%,0.12%,1.78%,0.06%,0.23%,0.00%,,,,,,,,,,,,,,,,,,,
392,73.08%,23.78%,0.19%,1.00%,1.71%,0.17%,0.08%,,,,,,,,,,,,,,,,,,,
393,70.49%,28.55%,0.03%,0.83%,0.00%,0.10%,0.00%,,,,,,,,,,,,,,,,,,,
394,68.97%,29.06%,0.20%,1.44%,0.00%,0.32%,0.00%,,,,,,,,,,,,,,,,,,,
395,46.87%,51.25%,0.40%,1.22%,0.15%,0.10%,0.00%,,,,,,,,,,,,,,,,,,,
396,32.40%,63.47%,0.78%,2.56%,0.22%,0.56%,0.00%,,,,,,,,,,,,,,,,,,,
397,31.69%,61.60%,0.48%,5.15%,0.02%,1.06%,0.00%,,,,,,,,,,,,,,,,,,,
398,44.04%,52.17%,0.34%,2.85%,0.10%,0.51%,0.00%,,,,,,,,,,,,,,,,,,,
399,49.14%,47.52%,0.40%,2.27%,0.03%,0.65%,0.00%,,,,,,,,,,,,,,,,,,,
400,43.92%,51.89%,0.29%,2.38%,0.42%,1.11%,0.00%,,,,,,,,,,,,,,,,,,,
401,53.22%,43.25%,0.35%,0.94%,2.13%,0.10%,0.00%,,,,,,,,,,,,,,,,,,,
402,58.36%,37.32%,0.18%,2.66%,0.32%,1.15%,0.00%,,,,,,,,,,,,,,,,,,,
403,61.03%,38.15%,0.06%,0.71%,0.01%,0.04%,0.00%,,,,,,,,,,,,,,,,,,,
404,54.71%,42.43%,0.26%,0.94%,1.47%,0.20%,0.00%,,,,,,,,,,,,,,,,,,,
405,46.20%,50.25%,0.57%,2.40%,0.10%,0.47%,0.00%,,,,,,,,,,,,,,,,,,,
406,41.30%,53.57%,0.89%,3.12%,0.22%,0.91%,0.00%,,,,,,,,,,,,,,,,,,,
407,51.79%,46.99%,0.17%,0.99%,0.01%,0.06%,0.00%,,,,,,,,,,,,,,,,,,,
408,39.07%,56.60%,0.34%,3.46%,0.28%,0.25%,0.00%,,,,,,,,,,,,,,,,,,,
409,50.79%,47.84%,0.16%,0.90%,0.07%,0.24%,0.00%,,,,,,,,,,,,,,,,,,,
410,71.80%,27.82%,0.02%,0.34%,0.00%,0.03%,0.00%,,,,,,,,,,,,,,,,,,,
411,57.88%,40.92%,0.12%,0.57%,0.32%,0.17%,0.00%,,,,,,,,,,,,,,,,,,,
412,37.81%,59.05%,0.47%,1.87%,0.09%,0.72%,0.00%,,,,,,,,,,,,,,,,,,,
413,60.03%,38.81%,0.07%,0.69%,0.20%,0.20%,0.00%,,,,,,,,,,,,,,,,,,,
414,48.93%,48.95%,0.22%,1.14%,0.24%,0.52%,0.00%,,,,,,,,,,,,,,,,,,,
415,42.57%,54.03%,0.59%,1.80%,0.80%,0.21%,0.00%,,,,,,,,,,,,,,,,,,,
416,40.38%,56.49%,0.57%,1.56%,0.32%,0.67%,0.00%,,,,,,,,,,,,,,,,,,,
417,52.78%,44.52%,0.29%,1.79%,0.06%,0.56%,0.00%,,,,,,,,,,,,,,,,,,,
418,48.97%,48.75%,0.77%,0.91%,0.10%,0.50%,0.00%,,,,,,,,,,,,,,,,,,,
419,54.59%,41.21%,0.58%,2.65%,0.44%,0.53%,0.00%,,,,,,,,,,,,,,,,,,,
420,45.60%,51.98%,0.67%,0.93%,0.53%,0.29%,0.00%,,,,,,,,,,,,,,,,,,,
421,35.83%,61.97%,0.41%,1.24%,0.32%,0.23%,0.00%,,,,,,,,,,,,,,,,,,,
422,39.34%,58.63%,0.49%,1.18%,0.10%,0.26%,0.00%,,,,,,,,,,,,,,,,,,,
423,55.87%,42.87%,0.19%,0.93%,0.07%,0.07%,0.00%,,,,,,,,,,,,,,,,,,,
424,52.85%,45.84%,0.50%,0.50%,0.09%,0.22%,0.00%,,,,,,,,,,,,,,,,,,,
425,47.10%,50.25%,0.54%,0.86%,0.31%,0.94%,0.00%,,,,,,,,,,,,,,,,,,,
426,47.45%,51.20%,0.36%,0.67%,0.01%,0.31%,0.00%,,,,,,,,,,,,,,,,,,,
427,60.65%,38.41%,0.07%,0.45%,0.10%,0.32%,0.00%,,,,,,,,,,,,,,,,,,,
428,54.66%,43.40%,0.14%,1.14%,0.10%,0.56%,0.00%,,,,,,,,,,,,,,,,,,,
429,58.07%,40.84%,0.06%,0.91%,0.01%,0.11%,0.00%,,,,,,,,,,,,,,,,,,,
430,75.51%,23.72%,0.08%,0.48%,0.16%,0.06%,0.00%,,,,,,,,,,,,,,,,,,,
431,59.27%,33.40%,0.19%,3.71%,0.13%,3.30%,0.00%,,,,,,,,,,,,,,,,,,,
432,66.35%,31.60%,0.22%,0.68%,0.00%,1.14%,0.00%,,,,,,,,,,,,,,,,,,,
433,56.88%,41.00%,0.26%,1.08%,0.19%,0.59%,0.00%,,,,,,,,,,,,,,,,,,,
434,51.57%,44.48%,0.76%,1.57%,0.29%,1.34%,0.00%,,,,,,,,,,,,,,,,,,,
435,68.21%,26.49%,0.28%,1.61%,2.60%,0.67%,0.00%,,,,,,,,,,,,,,,,,,,
436,48.74%,47.78%,0.54%,1.26%,0.68%,1.00%,0.00%,,,,,,,,,,,,,,,,,,,
437,36.91%,58.85%,0.88%,1.89%,0.83%,0.64%,0.00%,,,,,,,,,,,,,,,,,,,
438,65.75%,33.10%,0.11%,0.65%,0.11%,0.28%,0.00%,,,,,,,,,,,,,,,,,,,
439,54.80%,42.96%,0.19%,1.23%,0.35%,0.47%,0.00%,,,,,,,,,,,,,,,,,,,
440,0.03%,14.50%,0.00%,0.00%,85.46%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
441,71.49%,28.17%,0.05%,0.07%,0.15%,0.07%,0.00%,,,,,,,,,,,,,,,,,,,
442,81.89%,17.56%,0.03%,0.29%,0.04%,0.19%,0.00%,,,,,,,,,,,,,,,,,,,
443,76.96%,22.17%,0.15%,0.32%,0.00%,0.40%,0.00%,,,,,,,,,,,,,,,,,,,
444,62.99%,33.67%,0.40%,0.78%,0.48%,1.67%,0.00%,,,,,,,,,,,,,,,,,,,
445,91.55%,6.99%,0.23%,0.18%,0.80%,0.25%,0.00%,,,,,,,,,,,,,,,,,,,
446,73.65%,24.97%,0.01%,0.12%,1.00%,0.24%,0.00%,,,,,,,,,,,,,,,,,,,
447,75.27%,15.94%,0.27%,0.13%,7.59%,0.20%,0.60%,,,,,,,,,,,,,,,,,,,
448,55.62%,41.96%,0.43%,0.84%,0.24%,0.91%,0.00%,,,,,,,,,,,,,,,,,,,
449,54.81%,43.14%,0.19%,1.15%,0.00%,0.71%,0.00%,,,,,,,,,,,,,,,,,,,
450,1.39%,3.80%,0.00%,0.00%,94.74%,0.07%,0.00%,,,,,,,,,,,,,,,,,,,
451,0.13%,14.29%,0.00%,0.00%,85.59%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
452,17.59%,0.37%,2.88%,0.03%,77.97%,0.00%,1.16%,,,,,,,,,,,,,,,,,,,
453,33.93%,46.56%,0.42%,0.36%,17.63%,1.09%,0.00%,,,,,,,,,,,,,,,,,,,
454,80.33%,19.40%,0.04%,0.07%,0.00%,0.16%,0.00%,,,,,,,,,,,,,,,,,,,
455,56.06%,39.49%,0.23%,0.20%,3.62%,0.25%,0.00%,,,,,,,,,,,,,,,,,,,
456,77.18%,21.79%,0.01%,0.07%,0.76%,0.19%,0.00%,,,,,,,,,,,,,,,,,,,
457,65.96%,33.58%,0.01%,0.15%,0.00%,0.30%,0.00%,,,,,,,,,,,,,,,,,,,
458,78.21%,21.22%,0.12%,0.12%,0.04%,0.30%,0.00%,,,,,,,,,,,,,,,,,,,
459,71.12%,27.18%,0.12%,0.23%,0.58%,0.77%,0.00%,,,,,,,,,,,,,,,,,,,
460,41.59%,56.25%,0.59%,0.71%,0.01%,0.85%,0.00%,,,,,,,,,,,,,,,,,,,
461,43.24%,53.05%,0.39%,0.95%,0.06%,2.30%,0.00%,,,,,,,,,,,,,,,,,,,
462,39.85%,57.46%,0.52%,0.84%,0.51%,0.83%,0.00%,,,,,,,,,,,,,,,,,,,
463,54.47%,41.93%,0.17%,0.62%,2.13%,0.66%,0.02%,,,,,,,,,,,,,,,,,,,
464,55.14%,43.13%,0.21%,0.60%,0.07%,0.84%,0.00%,,,,,,,,,,,,,,,,,,,
465,44.20%,54.67%,0.34%,0.39%,0.01%,0.39%,0.00%,,,,,,,,,,,,,,,,,,,
466,38.75%,59.23%,0.39%,1.00%,0.01%,0.61%,0.00%,,,,,,,,,,,,,,,,,,,
467,37.13%,60.09%,0.50%,1.28%,0.06%,0.95%,0.00%,,,,,,,,,,,,,,,,,,,
468,41.10%,56.99%,0.41%,0.55%,0.18%,0.77%,0.00%,,,,,,,,,,,,,,,,,,,
469,37.95%,57.55%,0.62%,1.59%,0.66%,1.63%,0.00%,,,,,,,,,,,,,,,,,,,
470,69.71%,28.66%,0.08%,0.31%,0.62%,0.62%,0.00%,,,,,,,,,,,,,,,,,,,
471,54.21%,43.68%,0.20%,0.90%,0.14%,0.87%,0.00%,,,,,,,,,,,,,,,,,,,
472,29.36%,64.79%,1.19%,1.97%,0.24%,2.45%,0.00%,,,,,,,,,,,,,,,,,,,
473,30.46%,61.81%,0.90%,1.84%,0.15%,4.84%,0.00%,,,,,,,,,,,,,,,,,,,
474,43.31%,53.83%,0.76%,0.96%,0.19%,0.91%,0.00%,,,,,,,,,,,,,,,,,,,
475,53.52%,43.23%,0.73%,0.58%,0.42%,1.52%,0.00%,,,,,,,,,,,,,,,,,,,
476,63.00%,34.43%,0.22%,0.67%,0.76%,0.91%,0.00%,,,,,,,,,,,,,,,,,,,
477,58.24%,40.38%,0.22%,0.46%,0.27%,0.42%,0.00%,,,,,,,,,,,,,,,,,,,
478,44.04%,52.64%,0.25%,1.12%,0.29%,1.67%,0.00%,,,,,,,,,,,,,,,,,,,
479,30.84%,66.89%,0.36%,1.42%,0.06%,0.44%,0.00%,,,,,,,,,,,,,,,,,,,
480,38.70%,56.66%,0.51%,0.95%,2.22%,0.86%,0.04%,,,,,,,,,,,,,,,,,,,
481,33.59%,64.01%,0.19%,1.70%,0.19%,0.32%,0.00%,,,,,,,,,,,,,,,,,,,
482,40.44%,42.03%,0.03%,1.60%,15.83%,0.06%,0.00%,,,,,,,,,,,,,,,,,,,
483,7.38%,44.05%,0.22%,0.59%,47.64%,0.07%,0.04%,,,,,,,,,,,,,,,,,,,
484,49.33%,26.83%,0.01%,0.82%,23.02%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
