#OTU ID,Bacteria,Phylum,Class,Order,Family,Genus,Species
291535,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
291566,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcusflavefaciens
291584,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
291607,Bacteria,Firmicutes,Clostridia,Clostridiales,ClostridialesFamilyXIII.IncertaeSedis,Eubacterium,
291644,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
291684,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautiaproducta
291713,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
291720,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
291730,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
291733,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
291742,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
291744,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
291759,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
291815,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautiaproducta
291844,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
291870,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
291890,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
291937,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
291950,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
291951,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
291997,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292001,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
292073,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
292216,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
292231,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292243,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
292247,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292256,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292285,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292294,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
292296,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
292310,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
292358,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
292384,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
292386,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292387,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292399,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
292424,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
292426,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
292438,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
292471,Bacteria,TM7,TM7-3,EW055,,,
292480,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292521,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
292544,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
292556,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292569,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
292577,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
292585,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
292587,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292633,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
292635,Bacteria,Tenericutes,Mollicutes,RF39,,,
292740,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292764,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,
292857,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292859,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
292878,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292892,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292909,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292941,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
292962,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
293015,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
293078,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
293085,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
293097,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
293104,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
293221,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
293231,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,,
293232,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
293256,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,p-1630-c5
293308,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
293326,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
293330,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
293360,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
293389,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
