#OTU ID,Bacteria,Phylum,Class,Order,Family,Genus,Species
263074,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
263138,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
263334,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
263390,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
263567,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
263650,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,,
263681,Bacteria,Cyanobacteria,4C0d-2,YS2,,,
263697,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
263856,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
263929,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Roseateles,
264010,Bacteria,Thermi,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,
264035,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
264114,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
264345,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,
