1,29 64 3 3 1 0 0 1;
2,23 65 7 4 1 0 0 2;
3,25 65 6 3 1 0 0 3;
4,0 5 14 0 72 0 8 4;
5,26 65 8 0 0 0 0 5;
6,26 64 8 1 0 0 0 6;
7,49 46 2 2 2 0 0 7;
8,15 75 4 6 1 0 0 8;
9,13 69 8 9 2 0 0 9;
10,22 63 9 5 1 0 0 10;
11,11 74 10 4 0 0 0 11;
12,31 56 9 4 0 0 0 12;
13,0 100 0 0 0 0 0 13;
14,43 48 5 2 2 0 0 14;
15,23 67 5 4 0 0 0 15;
16,34 60 2 3 2 0 0 16;
17,23 59 7 3 9 0 0 17;
18,38 53 6 2 1 0 0 18;
19,28 56 7 6 2 0 0 19;
20,26 62 10 1 1 0 0 20;
21,7 69 13 1 9 0 0 21;
22,24 64 9 2 1 0 0 22;
23,32 59 3 5 1 0 0 23;
24,21 67 8 3 0 0 0 24;
25,22 64 3 8 2 0 0 25;
26,32 57 6 6 1 0 0 26;
27,28 58 6 6 1 0 0 27;
28,0 81 13 5 1 0 0 28;
29,28 61 8 2 1 0 0 29;
30,8 80 8 4 0 0 0 30;
31,22 56 4 18 1 0 0 31;
32,14 69 10 6 0 0 0 32;
33,22 65 4 9 0 0 0 33;
34,19 68 8 5 0 0 0 34;
35,31 57 9 3 0 0 0 35;
36,0 0 0 0 0 0 100 36;
37,27 65 5 2 1 0 0 37;
38,27 59 7 5 2 0 0 38;
39,20 68 8 4 1 0 0 39;
40,34 57 6 2 1 0 0 40;
41,30 59 7 3 1 0 0 41;
42,20 62 16 1 1 0 0 42;
43,13 73 11 2 1 0 0 43;
44,25 60 10 5 1 0 0 44;
45,5 73 10 11 1 0 0 45;
46,2 70 7 17 4 0 0 46;
47,17 72 5 7 1 0 0 47;
48,8 78 8 5 1 0 0 48;
49,5 69 11 14 1 0 0 49;
50,21 68 9 2 0 0 0 50;
51,24 62 11 1 1 0 0 51;
52,20 68 11 1 0 0 0 52;
53,14 72 11 3 1 0 0 53;
54,8 71 7 11 3 0 0 54;
55,31 58 9 2 1 0 0 55;
56,21 67 8 3 1 0 0 56;
57,13 71 11 5 0 0 0 57;
58,12 73 7 7 0 0 0 58;
59,27 56 11 5 0 0 0 59;
60,11 62 16 5 5 0 0 60;
61,23 62 10 3 2 0 0 61;
62,32 59 7 2 1 0 0 62;
63,38 62 0 0 0 0 0 63;
64,24 64 3 8 2 0 0 64;
65,23 62 7 7 1 0 0 65;
66,12 72 8 8 0 0 0 66;
67,28 58 6 7 0 0 0 67;
68,35 58 2 3 1 0 0 68;
69,54 42 1 3 1 0 0 69;
70,20 71 1 3 4 0 0 70;
71,39 48 6 5 2 0 0 71;
72,13 74 5 6 3 0 0 72;
73,45 44 1 2 7 0 0 73;
74,36 46 1 5 12 0 0 74;
75,61 37 0 1 0 1 0 75;
76,21 64 2 3 10 0 0 76;
77,28 60 2 4 5 1 0 77;
78,13 70 1 6 10 0 0 78;
79,40 50 0 1 9 0 0 79;
80,10 67 0 5 18 0 0 80;
81,36 47 0 1 11 0 0 81;
82,22 38 0 3 37 0 0 82;
83,3 56 1 12 29 0 0 83;
84,26 37 0 7 30 0 0 84;
85,7 60 3 18 12 0 0 85;
86,26 68 4 2 0 0 0 86;
87,29 26 0 5 39 0 0 87;
88,37 36 0 2 23 0 0 88;
89,39 32 0 1 25 0 0 89;
90,43 34 0 1 20 0 0 90;
91,1 2 0 0 97 0 0 91;
92,14 59 2 10 15 0 0 92;
93,30 49 1 4 16 0 0 93;
94,31 49 0 3 17 0 0 94;
95,49 41 0 4 6 0 0 95;
96,41 48 0 3 8 0 0 96;
97,34 54 1 4 7 0 0 97;
98,47 43 1 2 6 0 0 98;
99,37 47 2 2 12 0 0 99;
100,20 54 5 8 14 0 0 100;
101,45 39 2 3 12 0 0 101;
102,13 42 0 0 45 0 0 102;
103,25 65 6 3 1 0 0 103;
104,33 33 0 3 31 0 0 104;
105,11 25 0 0 63 0 0 105;
106,43 30 0 1 20 0 0 106;
107,26 61 0 2 10 0 0 107;
108,30 28 0 1 37 0 0 108;
109,55 30 0 1 11 0 0 109;
110,27 49 4 1 19 0 0 110;
111,26 59 3 2 9 0 0 111;
112,44 46 1 2 6 0 0 112;
113,28 65 2 4 2 0 0 113;
114,33 49 1 5 11 0 0 114;
115,33 56 3 6 3 0 0 115;
116,25 59 2 8 6 0 0 116;
117,34 46 0 3 16 0 0 117;
118,29 55 2 4 10 0 0 118;
119,50 50 0 0 0 0 0 119;
120,41 50 3 3 3 0 0 120;
121,18 70 2 5 5 0 0 121;
122,21 64 10 3 2 0 0 122;
123,21 65 11 1 1 0 0 123;
124,31 61 6 1 1 0 0 124;
125,46 46 1 3 4 0 0 125;
126,40 54 1 2 2 0 0 126;
127,19 70 5 5 2 0 0 127;
128,36 55 7 2 0 0 0 128;
129,24 64 8 3 1 0 0 129;
130,17 72 6 4 0 0 0 130;
131,34 56 6 4 0 0 0 131;
132,41 53 4 1 1 0 0 132;
133,17 69 8 6 1 0 0 133;
134,32 57 5 5 1 0 0 134;
135,21 67 5 6 0 0 0 135;
136,27 63 6 3 0 0 0 136;
137,0 3 2 0 95 0 0 137;
